link,Data-Name,data type,default task,attribute-type,instances,attributes,year
https://archive.ics.uci.edu/ml/datasets/Qualitative+Structure+Activity+Relationships,Qualitative Structure Activity Relationships,Domain-Theory,,,,,
https://archive.ics.uci.edu/ml/datasets/Quadruped+Mammals,Quadruped Mammals,"Multivariate, Data-Generator",Classification,Real,,72,1992
https://archive.ics.uci.edu/ml/datasets/Servo,Servo,Multivariate,Regression,"Categorical, Integer",167,4,1993
https://archive.ics.uci.edu/ml/datasets/Shuttle+Landing+Control,Shuttle Landing Control,Multivariate,Classification,Categorical,15,6,1988
https://archive.ics.uci.edu/ml/datasets/Solar+Flare,Solar Flare,Multivariate,Regression,Categorical,1389,10,1989
https://archive.ics.uci.edu/ml/datasets/Soybean+%28Large%29,Soybean (Large),Multivariate,Classification,Categorical,307,35,1988
https://archive.ics.uci.edu/ml/datasets/Soybean+%28Small%29,Soybean (Small),Multivariate,Classification,Categorical,47,35,1987
https://archive.ics.uci.edu/ml/datasets/Challenger+USA+Space+Shuttle+O-Ring,Challenger USA Space Shuttle O-Ring,Multivariate,Regression,Integer,23,4,1993
https://archive.ics.uci.edu/ml/datasets/Low+Resolution+Spectrometer,Low Resolution Spectrometer,Multivariate,Classification,"Integer, Real",531,102,1988
https://archive.ics.uci.edu/ml/datasets/Spambase,Spambase,Multivariate,Classification,"Integer, Real",4601,57,1999
https://archive.ics.uci.edu/ml/datasets/SPECT+Heart,SPECT Heart,Multivariate,Classification,Categorical,267,22,2001
https://archive.ics.uci.edu/ml/datasets/SPECTF+Heart,SPECTF Heart,Multivariate,Classification,Integer,267,44,2001
https://archive.ics.uci.edu/ml/datasets/Sponge,Sponge,Multivariate,Clustering,"Categorical, Integer",76,45,
https://archive.ics.uci.edu/ml/datasets/Statlog+Project,Statlog Project,,,,,,1992
https://archive.ics.uci.edu/ml/datasets/Student+Loan+Relational,Student Loan Relational,Domain-Theory,,,1000,,1993
https://archive.ics.uci.edu/ml/datasets/Teaching+Assistant+Evaluation,Teaching Assistant Evaluation,Multivariate,Classification,"Categorical, Integer",151,5,1997
https://archive.ics.uci.edu/ml/datasets/Tic-Tac-Toe+Endgame,Tic-Tac-Toe Endgame,Multivariate,Classification,Categorical,958,9,1991
https://archive.ics.uci.edu/ml/datasets/Thyroid+Disease,Thyroid Disease,"Multivariate, Domain-Theory",Classification,"Categorical, Real",7200,21,1987
https://archive.ics.uci.edu/ml/datasets/Trains,Trains,Multivariate,Classification,Categorical,10,32,1994
https://archive.ics.uci.edu/ml/datasets/University,University,Multivariate,Classification,"Categorical, Integer",285,17,1988
https://archive.ics.uci.edu/ml/datasets/Congressional+Voting+Records,Congressional Voting Records,Multivariate,Classification,Categorical,435,16,1987
https://archive.ics.uci.edu/ml/datasets/Water+Treatment+Plant,Water Treatment Plant,Multivariate,Clustering,"Integer, Real",527,38,1993
https://archive.ics.uci.edu/ml/datasets/Waveform+Database+Generator+%28Version+1%29,Waveform Database Generator (Version 1),"Multivariate, Data-Generator",Classification,Real,5000,21,1988
https://archive.ics.uci.edu/ml/datasets/Waveform+Database+Generator+%28Version+2%29,Waveform Database Generator (Version 2),"Multivariate, Data-Generator",Classification,Real,5000,40,1988
https://archive.ics.uci.edu/ml/datasets/Wine,Wine,Multivariate,Classification,"Integer, Real",178,13,1991
https://archive.ics.uci.edu/ml/datasets/Yeast,Yeast,Multivariate,Classification,Real,1484,8,1996
